strike,call_oi,put_oi,total_oi,net_oi,distance_from_spot,call_volume,put_volume,total_volume
7030.0,2749,1563,4312,1186,-96.17,889,10671,11560
7035.0,2059,1433,3492,626,-91.17,537,10337,10874
7040.0,2344,1252,3596,1092,-86.17,1179,17795,18974
7045.0,1809,644,2453,1165,-81.17,1303,10196,11499
7050.0,14079,10453,24532,3626,-76.17,2104,25728,27832
7055.0,2004,234,2238,1770,-71.17,1652,13243,14895
7060.0,4647,230,4877,4417,-66.17,1672,16115,17787
7065.0,2252,130,2382,2122,-61.17,1480,15210,16690
7070.0,3182,254,3436,2928,-56.17,2185,23091,25276
7075.0,4220,146,4366,4074,-51.17,3505,18930,22435
7080.0,2898,232,3130,2666,-46.17,4210,22315,26525
7085.0,1942,48,1990,1894,-41.17,4314,20909,25223
7090.0,3582,246,3828,3336,-36.17,10329,24336,34665
7095.0,2333,50,2383,2283,-31.17,12324,17642,29966
7100.0,8039,253,8292,7786,-26.17,31026,38679,69705
7105.0,4689,53,4742,4636,-21.17,18751,15042,33793
7110.0,3670,24,3694,3646,-16.17,27169,18721,45890
7115.0,2982,63,3045,2919,-11.17,25322,16286,41608
7120.0,3047,109,3156,2938,-6.17,30343,14989,45332
7125.0,6188,68,6256,6120,-1.17,37943,13610,51553
7130.0,1973,65,2038,1908,3.83,38470,13693,52163
7135.0,2006,16,2022,1990,8.83,37632,9448,47080
7140.0,2984,149,3133,2835,13.83,57296,5894,63190
7145.0,1519,138,1657,1381,18.83,34882,1822,36704
7150.0,5428,98,5526,5330,23.83,59827,1528,61355
7155.0,915,27,942,888,28.83,27555,446,28001
7160.0,2812,37,2849,2775,33.83,66212,845,67057
7170.0,847,75,922,772,43.83,28486,741,29227
7175.0,12904,39,12943,12865,48.83,17552,166,17718
7180.0,1116,61,1177,1055,53.83,14892,182,15074
7190.0,2719,27,2746,2692,63.83,12307,74,12381
7200.0,6357,51,6408,6306,73.83,17247,258,17505
7210.0,871,16,887,855,83.83,6079,30,6109
7220.0,1009,3,1012,1006,93.83,4762,6,4768
7225.0,4817,18,4835,4799,98.83,3823,18,3841
7230.0,967,14,981,953,103.83,3623,3,3626
7240.0,1996,8,2004,1988,113.83,3362,12,3374
7250.0,4284,9,4293,4275,123.83,4509,1,4510
7260.0,965,3,968,962,133.83,2736,62,2798
7270.0,436,1,437,435,143.83,2455,4,2459
7275.0,9553,3,9556,9550,148.83,2248,10,2258
7280.0,492,0,492,492,153.83,1999,0,1999
7290.0,3711,0,3711,3711,163.83,2725,9,2734
7300.0,5172,13,5185,5159,173.83,4596,2,4598
7310.0,404,2,406,402,183.83,1278,2,1280
7320.0,506,0,506,506,193.83,404,0,404
7325.0,293,10,303,283,198.83,603,10,613
7330.0,276,10,286,266,203.83,1161,10,1171
7340.0,234,1,235,233,213.83,1522,4,1526
7350.0,674,1,675,673,223.83,1742,23,1765
7360.0,389,40,429,349,233.83,519,9,528
7370.0,840,39,879,801,243.83,18,1,19
7375.0,906,2,908,904,248.83,49,2,51
7380.0,323,16,339,307,253.83,4,14,18
7390.0,132,1,133,131,263.83,3,1,4
7400.0,1660,4,1664,1656,273.83,13,1,14
7410.0,173,14,187,159,283.83,3,14,17
7420.0,65,0,65,65,293.83,11,4,15
7425.0,214,3,217,211,298.83,128,9,137
7430.0,264,0,264,264,303.83,38,4,42
7440.0,307,7,314,300,313.83,247,10,257
7450.0,1044,1,1045,1043,323.83,286,2,288
7460.0,254,15,269,239,333.83,12,15,27
7470.0,2246,14,2260,2232,343.83,7,22,29
7475.0,549,7,556,542,348.83,6,10,16
7480.0,457,14,471,443,353.83,6,3,9
7490.0,380,13,393,367,363.83,111,22,133
