strike,call_oi,put_oi,total_oi,net_oi,distance_from_spot,call_volume,put_volume,total_volume
7480.0,189,0,189,189,236.49,80,0,80
7490.0,180,0,180,180,246.49,22,0,22
7500.0,1674,7,1681,1667,256.49,17,2,19
7510.0,169,0,169,169,266.49,25,0,25
7520.0,1,0,1,1,276.49,1,0,1
7525.0,1872,0,1872,1872,281.49,2,0,2
7530.0,2,0,2,2,286.49,2,0,2
7540.0,0,0,0,0,296.49,0,0,0
7550.0,334,0,334,334,306.49,1,0,1
7560.0,1,0,1,1,316.49,1,0,1
7570.0,40,0,40,40,326.49,40,0,40
7575.0,221,1,222,220,331.49,2,1,3
7580.0,500,0,500,500,336.49,2,0,2
7590.0,7,0,7,7,346.49,7,0,7
7600.0,2541,0,2541,2541,356.49,4,0,4
7610.0,0,0,0,0,366.49,0,0,0
7620.0,0,0,0,0,376.49,0,0,0
7625.0,157,0,157,157,381.49,1,0,1
7630.0,0,0,0,0,386.49,0,0,0
7640.0,0,0,0,0,396.49,0,0,0
7650.0,97,0,97,97,406.49,2,2,4
7675.0,282,0,282,282,431.49,100,0,100
7700.0,418,0,418,418,456.49,50,0,50
7725.0,0,0,0,0,481.49,0,0,0
7750.0,20,0,20,20,506.49,20,0,20
7775.0,1,0,1,1,531.49,1,0,1
7800.0,109,0,109,109,556.49,1,0,1
7825.0,0,0,0,0,581.49,0,0,0
7850.0,10,0,10,10,606.49,10,0,10
7875.0,0,0,0,0,631.49,0,0,0
7900.0,12,0,12,12,656.49,2,0,2
7925.0,0,0,0,0,681.49,0,0,0
8000.0,234,6,240,228,756.49,201,1,202
8100.0,0,0,0,0,856.49,0,0,0
8200.0,1004,0,1004,1004,956.49,1000,0,1000
8400.0,10,0,10,10,1156.49,2,0,2
8600.0,1,0,1,1,1356.49,1,0,1
8800.0,2,1,3,1,1556.49,2,1,3
9000.0,22,21,43,1,1756.49,2,1,3
9200.0,5,3,8,2,1956.49,2,2,4
